+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| itvhd.live                        | 91.195.241.137  |   A   |
| jagobd.com                        | 172.67.217.45   |   A   |
| jakianetbd.com                    | 104.152.168.30  |   A   |
| jannatmirinternetservice.com      | 103.48.119.27   |   A   |
| jhakkas.live                      | 103.56.6.6      |   A   |
| jhalmuri.xyz                      | 104.21.37.70    |   A   |
| jonycable.com                     | 23.111.183.250  |   A   |
| kaat.pw                           | 103.107.160.36  |   A   |
| karsannet.com                     | 162.252.83.203  |   A   |
| kawsarit.com                      | 162.210.199.65  |   A   |
| kbnonlinebd.net                   | 184.95.32.226   |   A   |
| khulnaflix.net                    | 103.80.70.58    |   A   |
| khulnatv.live                     | 103.112.148.30  |   A   |
| kimcartoon.to                     | 104.26.4.133    |   A   |
| kissanime.ru                      | unresolvable    | error |
| kloud.com.bd                      | 103.146.221.43  |   A   |
| kmnbd.net                         | 23.29.122.195   |   A   |
| lalbatte.net                      | 103.16.24.58    |   A   |
| leadtechnologybd.com              | 199.250.194.93  |   A   |
| live.amrbd.com                    | 12.1.1.2        |   A   |
| live.ftpbd.net                    | unresolvable    | error |
| live.moneybag.me                  | 67.227.226.240  | CNAME |
| live.moviebazar.net               | 113.212.111.246 |   A   |
| live.movieboxbd.com               | unresolvable    | error |
| live.quickboxbd.com               | 67.227.226.240  | CNAME |
| livestream.colbd.net              | unresolvable    | error |
| livetv.freedownloadbd.com         | 45.64.137.210   |   A   |
| livetv.mirpur.online              | 103.85.196.146  |   A   |
| loadbaba.com                      | 199.59.242.153  |   A   |
| m4ufree.tv                        | 172.67.193.164  |   A   |
| mahirbd.com                       | 192.185.150.254 |   A   |
| mail.ftpbd.net                    | unresolvable    | error |
| mangogamers.com                   | 104.21.50.110   |   A   |
| manikdicommunication.com          | 64.188.2.209    |   A   |
| mars.bolbd.net                    | 198.54.120.111  |   A   |
| mathanosto.top                    | 172.16.172.18   |   A   |
| maxnetbd.com                      | 209.99.40.222   |   A   |
| mcplexbangla.com                  | 209.99.40.222   |   A   |
| media.ctgfun.com                  | 172.20.0.18     |   A   |
| media.dfnbd.net                   | 45.127.244.22   |   A   |
| media.fn                          | unresolvable    | error |
| media.ftpbd.net                   | 103.58.73.10    |   A   |
| media.furiousnet.net              | 203.96.189.2    |   A   |
| media.ghurionline.com             | 69.16.230.42    | CNAME |
| media.infobd.net                  | 103.225.94.27   |   A   |
| media.intranetbd.net              | unresolvable    | error |
| media.netmatrixbd.com             | 103.115.72.106  |   A   |
| media.radiantbd.com               | 122.102.32.230  |   A   |
| media.southlinkbd.com             | unresolvable    | error |
| media.unique24.net                | 209.99.64.43    |   A   |
| media.zerointernet.net            | 103.29.127.14   |   A   |
| mediaboxbd.com                    | 103.159.5.14    |   A   |
| medialink24.net                   | 103.210.56.45   |   A   |
| megaflix.tv                       | 104.21.20.146   |   A   |
| metromedia.digital                | 203.80.191.238  |   A   |
| micnbd.com                        | 15.20.20.10     |   A   |
| midiplex.net                      | 184.168.131.241 |   A   |
| mirpurnetbd.com                   | 103.142.184.252 |   A   |
| mkvcage                           | unresolvable    | error |
| mkvflix.net                       | 104.243.45.178  |   A   |
| mkvking                           | unresolvable    | error |
| mlwbd.life                        | 172.67.213.198  |   A   |
| mlwbd.pw                          | 198.54.117.200  |   A   |
| mojaloss.net                      | 5.79.102.193    |   A   |
| moneybag.me                       | 67.227.226.240  |   A   |
| moon2tv.webs.com                  | 104.17.119.40   |   A   |
| movie.basnetbd.com                | 103.87.212.46   |   A   |
| movie.idsbangladesh.net.bd        | 117.103.80.98   |   A   |
| movie.smartnetltd.com             | 160.202.128.50  |   A   |
| movie.vidmate.mobi                | 161.117.107.129 |   A   |
| moviebazar.net                    | 113.212.108.237 |   A   |
| movieboxbd.com                    | 10.242.242.11   |   A   |
| moviebuzz.one                     | 199.59.242.153  |   A   |
| moviedom.live                     | 43.255.154.96   |   A   |
| moviefreak.xyz                    | 172.67.170.79   |   A   |
| moviehaat.net                     | 59.152.101.198  |   A   |
| moviemela.live                    | 103.78.160.2    |   A   |
| movienoe.com                      | 69.16.230.42    |   A   |
| movies.aitlbd.org                 | unresolvable    | error |
| movies.fnfonlinebd.com            | 10.10.10.3      |   A   |
| moviesco.cc                       | 67.227.226.240  |   A   |
| moviescounterhd.club              | 198.54.117.200  |   A   |
| movieserver.net                   | 103.121.14.14   |   A   |
| movitime.online                   | 68.65.123.130   |   A   |
| movply.com                        | 3.223.115.185   | CNAME |
| movply.stream                     | unresolvable    | error |
| msmonlinebd.com                   | 103.78.160.145  |   A   |
| mtbsl.com                         | 188.165.204.31  |   A   |
| mtube.bdfun.club                  | unresolvable    | error |
| mtube.thenetheads.net             | unresolvable    | error |
| mtv.sports.bdfun.club             | 103.115.72.25   |   A   |
| mybdix.com                        | 198.54.126.55   |   A   |
| mybdplex.com                      | 103.114.38.36   |   A   |
| mycricketlive.live                | 91.195.241.137  |   A   |
| mymoviebazar.com                  | 67.227.226.240  |   A   |
| mymoviebazar.net                  | 45.249.187.234  |   A   |
| mytlinkbd.net                     | 192.185.181.49  |   A   |
| nagordola.com.bd                  | 103.106.238.74  |   A   |
| nagordola.live                    | 172.67.194.242  |   A   |
